event_name,event_date,event_url
…GET PERLONIZED!,2009-11-06,/event/10
KLUBNACHT,2009-11-07,/event/11
FINEST FRIDAY,2009-11-13,/event/12
KOMPAKTORAMA,2009-11-20,/event/14
Klubnacht,2009-11-21,/event/15
Elektroakustischer Salon,2009-11-29,/event/16
Elektroakustischer Salon,2009-11-30,/event/13
WARP 20 Part 1 / Konzert BATTLES / GRAVENHURST,2009-12-04,/event/17
DRUMCODE TOTAL,2009-12-05,/event/18
HERKULES & LOVE AFFAIR,2009-12-10,/event/19
WARP 20 Part 2,2009-12-11,/event/20
5 Jahre Berghain,2009-12-12,/event/21
SOAP & SKIN ( with ensemble),2009-12-17,/event/22
PLAYHOUSE,2009-12-18,/event/23
Klubnacht HIGHGRADE vs. WAGON REPAIR,2009-12-19,/event/24
WEIHNACHTSKONZERT,2009-12-20,/event/25
closed!,2009-12-25,/event/29
KLUBNACHT,2009-12-26,/event/26
SILVESTER 2009 / 2010,2010-01-01,/event/27
ERSTE KLUBNACHT IN 2010,2010-01-02,/event/28
PROLOGUE NACHT,2010-01-08,/event/30
KLUBNACHT,2010-01-09,/event/31
SUB:STANCE,2010-01-15,/event/32
OSTGUT TON meets DELSIN,2010-01-16,/event/33
Underground Quality Nacht,2010-01-22,/event/34
KLUBNACHT,2010-01-23,/event/35
DIAL NACHT,2010-01-29,/event/36
KLUBNACHT,2010-01-30,/event/37
HONEST JONS / ...get perlonized!,2010-02-05,/event/38
KLUBNACHT,2010-02-06,/event/39
YELLOW LOUNGE,2010-02-08,/event/40
FINEST FRIDAY,2010-02-12,/event/41
KLUBNACHT,2010-02-13,/event/42
PLAYHOUSE,2010-02-19,/event/43
KLUBNACHT,2010-02-20,/event/44
ELEKTROAKUSTISCHER SALON - DUST,2010-02-25,/event/45
REKIDS NACHT,2010-02-26,/event/46
KLUBNACHT,2010-02-27,/event/47
LEISURE SYSTEM / ...GET PERLONIZED!,2010-03-05,/event/48
KLUBNACHT,2010-03-06,/event/51
KOMPAKTORAMA,2010-03-12,/event/52
KLUBNACHT,2010-03-13,/event/53
UPON. YOU- NACHT,2010-03-19,/event/54
DIAL NACHT,2010-03-20,/event/55
ELEKTROAKUSTISCHER SALON - AUFGANG,2010-03-24,/event/49
KONZERT - BABY DEE,2010-03-25,/event/50
MOJUBA NACHT,2010-03-26,/event/56
KLUBNACHT,2010-03-27,/event/57
AUTECHRE live / SMEGMA,2010-04-01,/event/59
...GET PERLONIZED!,2010-04-02,/event/60
SNAX CLUB / ... FINEST SATURDAY,2010-04-03,/event/58
Elektroakustischer Salon - SATURN NEVER SLEEPS,2010-04-08,/event/61
SUB:STANCE / FREUDE AM TANZEN,2010-04-09,/event/63
KLUBNACHT,2010-04-10,/event/62
PLAYHOUSE,2010-04-16,/event/64
KLUBNACHT,2010-04-17,/event/65
HELLO:REPEAT,2010-04-23,/event/66
KLUBNACHT,2010-04-24,/event/67
CARIBOU,2010-04-28,/event/68
SHRINEBUILDER - canceled!,2010-04-29,/event/69
MOBILEE NACHT / SMEGMA,2010-04-30,/event/70
OSTGUT TON DER ARBEIT,2010-05-01,/event/71
KLUBNACHT,2010-05-01,/event/72
ELEKTROAKUSTISCHER SALON,2010-05-06,/event/75
...GET PERLONIZED!,2010-05-07,/event/73
KLUBNACHT,2010-05-08,/event/74
RUNDFUNKCHOR Berlin,2010-05-10,/event/76
RUNDFUNKCHOR Berlin,2010-05-11,/event/77
SPEX LIVE,2010-05-12,/event/78
VENETIAN SNARES / MOON HARBOUR,2010-05-14,/event/79
10 YEARS HIGHGRADE,2010-05-15,/event/80
ELEKTROAKUSTISCHER SALON,2010-05-19,/event/81
FINEST FRIDAY,2010-05-21,/event/82
KLUBNACHT,2010-05-22,/event/83
REKIDS NACHT,2010-05-28,/event/84
KLUBNACHT,2010-05-29,/event/85
SUPERCOLLIDERS - Sounding Code,2010-06-02,/event/88
ELEKTROAKUSTISCHER SALON,2010-06-03,/event/89
...GET PERLONIZED!,2010-06-04,/event/86
KLUBNACHT,2010-06-05,/event/87
LEISURE SYSTEM / KOMPAKTORAMA,2010-06-11,/event/90
KLUBNACHT,2010-06-12,/event/91
PLAYHOUSE,2010-06-18,/event/93
KLUBNACHT,2010-06-19,/event/94
EFDEMIN „Chicago“,2010-06-25,/event/95
KLUBNACHT,2010-06-26,/event/92
...GET PERLONIZED!,2010-07-02,/event/96
KLUBNACHT,2010-07-03,/event/97
2 YEARS SUB:STANCE,2010-07-09,/event/99
KLUBNACHT,2010-07-10,/event/98
FINEST FRIDAY,2010-07-16,/event/100
KLUBNACHT,2010-07-17,/event/101
RESTORATION NACHT,2010-07-23,/event/102
KLUBNACHT,2010-07-24,/event/103
LEFT ROOM NACHT,2010-07-30,/event/104
KLUBNACHT,2010-07-31,/event/105
...GET PERLONIZED!,2010-08-06,/event/106
KLUBNACHT,2010-08-07,/event/107
FINEST FRIDAY,2010-08-13,/event/109
KLUBNACHT,2010-08-14,/event/110
BEST WORKS RECORDS,2010-08-20,/event/111
BPITCH TOTAL,2010-08-21,/event/112
SHED ALBUM RELEASE / KANN-NACHT,2010-08-27,/event/108
KLUBNACHT,2010-08-28,/event/113
...GET PERLONIZED!,2010-09-03,/event/114
KLUBNACHT,2010-09-04,/event/121
ELEKTROAKUSTISCHER SALON,2010-09-09,/event/115
KOMPAKTORAMA,2010-09-10,/event/122
KLUBNACHT,2010-09-11,/event/123
ANBB / ALVA NOTO & BLIXA BARGELD,2010-09-17,/event/116
LEISURE SYSTEM / DIAL,2010-09-17,/event/124
KLUBNACHT,2010-09-18,/event/125
LESUNG CARLOS ANDRÉS GÓMEZ,2010-09-20,/event/117
HELLO:REPEAT,2010-09-24,/event/126
KLUBNACHT,2010-09-25,/event/127
RED SPAROWES,2010-09-30,/event/118
...GET PERLONIZED!,2010-10-01,/event/129
KLUBNACHT,2010-10-02,/event/130
ELEKTROAKUSTISCHER SALON,2010-10-06,/event/119
RUIN & Solistenensemble Kaleidoskop,2010-10-07,/event/120
SUB:STANCE / RUSH HOUR,2010-10-08,/event/131
KLUBNACHT,2010-10-09,/event/132
VIDAB NACHT,2010-10-15,/event/133
KLUBNACHT,2010-10-16,/event/134
ED BANGER / PLAYHOUSE,2010-10-22,/event/135
KLUBNACHT,2010-10-23,/event/136
LUSTMORD,2010-10-27,/event/128
FÜNF - PART 1,2010-10-29,/event/137
FÜNF - PART 2,2010-10-30,/event/138
...GET PERLONIZED!,2010-11-05,/event/139
KLUBNACHT,2010-11-06,/event/140
YELLOW LOUNGE,2010-11-08,/event/152
MODESELEKTION,2010-11-11,/event/144
SHRINEBUILDER,2010-11-12,/event/141
UPON YOU!,2010-11-12,/event/145
KLUBNACHT,2010-11-13,/event/146
THE HUNDRED IN THE HANDS,2010-11-17,/event/142
ELEKTROAKUSTISCHER SALON,2010-11-18,/event/143
FINEST FRIDAY,2010-11-19,/event/147
KLUBNACHT,2010-11-20,/event/148
I BLAME COCO - KONZERT,2010-11-22,/event/155
Grand Pianoramax@KANTINE,2010-11-24,/event/156
DE:BUG- PARTY,2010-11-25,/event/149
FINEST FRIDAY,2010-11-26,/event/150
DRUMCODE TOTAL,2010-11-27,/event/151
Matthew Dear@Kantine,2010-12-01,/event/154
ELEKTRO.LIT,2010-12-02,/event/163
