venue,artist_name,event_url
Berghain,Zip,/event/10
Berghain,Akufen LIVE,/event/10
Berghain,Vincent Lemieux,/event/10
Berghain,Sammy Dee,/event/10
Panorama Bar,Akufen,/event/10
Panorama Bar,Vincent Lemieux,/event/10
Panorama Bar,Sammy Dee,/event/10
Panorama Bar,Zip,/event/10
Berghain,Norman Nodge,/event/11
Berghain,Renato Cohen,/event/11
Berghain,Ryan Elliott,/event/11
Panorama Bar,Josh Werner,/event/11
Panorama Bar,Tiny,/event/11
Panorama Bar,Matt Tolfrey,/event/11
Panorama Bar,Tama Sumo,/event/11
Panorama Bar,Nancy Fortune,/event/11
Panorama Bar,Dj Traxx,/event/11
Panorama Bar,Prosumer,/event/11
Panorama Bar,Dor,/event/12
Panorama Bar,I.F.M.,/event/12
Panorama Bar,Soundstream,/event/12
Panorama Bar,Oliver Deutschmann,/event/12
Panorama Bar,Chloé,/event/14
Panorama Bar,Superpitcher,/event/14
Panorama Bar,Sascha Funke,/event/14
Panorama Bar,Jo Saurbier,/event/14
Berghain,Dixon,/event/15
Berghain,Steffi,/event/15
Berghain,Lawrence,/event/15
Berghain,Efdemin,/event/15
Berghain,Carsten Jost,/event/15
Berghain,Rndm,/event/15
Berghain,Monika Kruse,/event/15
Berghain,Luke Slater,/event/15
Berghain,Fiedel,/event/15
Berghain,Ame,/event/15
Panorama Bar,Ame,/event/15
Panorama Bar,Dixon,/event/15
Panorama Bar,Rndm,/event/15
Panorama Bar,Carsten Jost,/event/15
Panorama Bar,Efdemin,/event/15
Panorama Bar,Lawrence,/event/15
Panorama Bar,Steffi,/event/15
Berghain,Max Dax,/event/16
Berghain,FM Einheit + Hans Joachim Irmler LIVE,/event/16
Berghain,Dälek LIVE,/event/16
Berghain,nd_baumecker,/event/13
Berghain,Zip,/event/13
Berghain,Ricardo Villalobos,/event/13
Berghain,Nikola Baytala,/event/13
Berghain,Danny Howells,/event/13
Berghain,Zip,/event/13
Berghain,Cassy,/event/13
Berghain,Lee Burridge,/event/13
Berghain,atom TM + tobias. LIVE,/event/13
Berghain,Rolando,/event/13
Berghain,Danny Howells,/event/13
Berghain,Lee Burridge,/event/13
Berghain,Cassy,/event/13
Berghain,Nikola Baytala,/event/13
Berghain,Ricardo Villalobos,/event/13
Berghain,Len Faki,/event/13
Panorama Bar,Cassy,/event/13
Panorama Bar,Lee Burridge,/event/13
Panorama Bar,Danny Howells,/event/13
Panorama Bar,Nikola Baytala,/event/13
Panorama Bar,Ricardo Villalobos,/event/13
Panorama Bar,Zip,/event/13
Berghain,!!! (chk chk chk),/event/17
Berghain,Nice Nice,/event/17
Berghain,Gravenhurst (solo electric) LIVE,/event/17
Berghain,Battles LIVE,/event/17
Panorama Bar,Zip,/event/17
Panorama Bar,Sammy Dee,/event/17
Panorama Bar,James Dean Brown,/event/17
Panorama Bar,Maayan Nidam,/event/17
Berghain,Alan Fitzpatrick,/event/18
Berghain,Joseph Capriati,/event/18
Berghain,Cari Lekebusch,/event/18
Berghain,Paul Ritch LIVE,/event/18
Berghain,Adam Beyer,/event/18
Berghain,Joel Mull,/event/18
Berghain,Adam Beyer & Joel Mull,/event/18
Panorama Bar,Dustin Zahn,/event/18
Panorama Bar,Pär Grindvik,/event/18
Panorama Bar,Tony Rohr LIVE,/event/18
Panorama Bar,Alexi Delano,/event/18
Panorama Bar,Martinez,/event/18
Panorama Bar,Cassy,/event/18
Panorama Bar,Andre Galluzzi,/event/18
Berghain,Hercules & Love Affair LIVE,/event/19
Berghain,"feat. Kim Ann, Daniella, Shaun, Mark & Andy",/event/19
Berghain,DJ Maxximus,/event/20
Berghain,Steve Beckett,/event/20
Berghain,Hudson Mohawke vs. Rustie,/event/20
Berghain,Plaid LIVE,/event/20
Berghain,Clark LIVE,/event/20
Panorama Bar,Winston Hazell,/event/20
Panorama Bar,Jackson,/event/20
Panorama Bar,Andrew Weatherall,/event/20
Panorama Bar,Tim Exile,/event/20
Panorama Bar,nd_baumecker,/event/20
Berghain,Norman Nodge,/event/21
Berghain,Boris,/event/21
Berghain,Green Velvet,/event/21
Berghain,Michael Mayer,/event/21
Panorama Bar,Mike Huckaby,/event/21
Panorama Bar,Margaret Dygas,/event/21
Panorama Bar,Ben Klock,/event/21
Panorama Bar,Tama Sumo,/event/21
Panorama Bar,Style Of Eye,/event/21
Panorama Bar,Nick Höppner,/event/21
Berghain,Soap & Skin (with ensemble) LIVE,/event/22
Berghain,Ivan Smagghe,/event/23
Berghain,Roman Flügel,/event/23
Berghain,Mathias Kaden,/event/23
Panorama Bar,Mathias Kaden,/event/23
Panorama Bar,Roman Flügel,/event/23
