event_id,floor,artist_name,set_time_start,set_time_end
100,Panorama Bar,Shonky,2010-07-16T00:00:00Z,2010-07-16T04:00:00Z
100,Panorama Bar,Hearthrob,2010-07-16T04:00:00Z,2010-07-16T05:00:00Z
100,Panorama Bar,Shonky,2010-07-16T05:00:00Z,2010-07-16T06:00:00Z
100,Panorama Bar,JPLS,2010-07-16T06:00:00Z,2010-07-16T07:00:00Z
100,Panorama Bar,Matt John,2010-07-16T07:00:00Z,2010-07-16T15:00:00Z
1000,Panorama Bar,Dresvn,2014-06-13T04:00:00Z,2014-06-13T05:00:00Z
1000,Panorama Bar,Floating Points,2014-06-13T05:00:00Z,2014-06-13T08:00:00Z
1000,Panorama Bar,Ben UFO,2014-06-13T08:00:00Z,2014-06-13T16:00:00Z
1000,Panorama Bar,Dj Sotofett,2014-06-13T23:59:00Z,2014-06-13T04:00:00Z
1000,Berghain,Laurel Halo,2014-06-13T01:00:00Z,2014-06-13T02:00:00Z
1000,Berghain,Cooly G,2014-06-13T02:00:00Z,2014-06-13T03:30:00Z
1000,Berghain,Kode9,2014-06-13T03:30:00Z,2014-06-13T05:00:00Z
1000,Berghain,DJ Spinn & Taso,2014-06-13T05:00:00Z,2014-06-13T06:30:00Z
1000,Berghain,Scratcha DVA,2014-06-13T06:30:00Z,2014-06-13T14:30:00Z
1000,Berghain,Kuedo,2014-06-13T23:00:00Z,2014-06-13T01:00:00Z
1001,Panorama Bar,Spencer Parker,2014-06-14T12:30:00Z,2014-06-14T16:00:00Z
1001,Panorama Bar,Waze & Odyssey,2014-06-14T16:00:00Z,2014-06-14T20:00:00Z
1001,Panorama Bar,Magaret Dygas,2014-06-14T20:00:00Z,2014-06-14T23:59:00Z
1001,Panorama Bar,San Soda,2014-06-14T23:59:00Z,2014-06-15T07:59:00Z
1001,Berghain,Redshape,2014-06-14T04:00:00Z,2014-06-14T05:00:00Z
1001,Berghain,Sandrien,2014-06-14T05:00:00Z,2014-06-14T09:00:00Z
1001,Berghain,Marcel Fengler,2014-06-14T09:00:00Z,2014-06-14T13:00:00Z
1001,Berghain,Oliver Deutschmann,2014-06-14T13:00:00Z,2014-06-14T17:00:00Z
1001,Berghain,DJ Nobu,2014-06-14T17:00:00Z,2014-06-14T20:00:00Z
1001,Berghain,Barker,2014-06-14T20:00:00Z,2014-06-14T23:59:00Z
1001,Berghain,Ryan Elliott,2014-06-14T23:59:00Z,2014-06-14T04:00:00Z
1001,Berghain,Ben Klock,2014-06-14T23:59:00Z,2014-06-15T07:59:00Z
1002,Panorama Bar,Levon Vincent,2014-06-20T03:30:00Z,2014-06-20T06:30:00Z
1002,Panorama Bar,Roman Flügel,2014-06-20T06:30:00Z,2014-06-20T09:30:00Z
1002,Panorama Bar,Soundstream,2014-06-20T09:30:00Z,2014-06-20T17:30:00Z
1002,Panorama Bar,Thomas Hammann,2014-06-20T23:59:00Z,2014-06-20T03:30:00Z
1003,Panorama Bar,???,2014-06-21T01:00:00Z,2014-06-21T09:00:00Z
1003,Panorama Bar,Massimilliano Pagliara,2014-06-21T14:00:00Z,2014-06-21T18:00:00Z
1003,Panorama Bar,Jason Kendig,2014-06-21T18:00:00Z,2014-06-21T21:00:00Z
1003,Panorama Bar,nd_baumecker,2014-06-21T21:00:00Z,2014-06-21T01:00:00Z
1003,Berghain,Tama Sumo,2014-06-21T04:00:00Z,2014-06-21T08:00:00Z
